[21:19:59] Model: mobilenet | Latency: 5.1ms | CPU: 8.0% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 4.5ms | CPU: 8.0% | RAM: 15.4% | Temp: 54.3C
[21:19:59] Model: mobilenet | Latency: 4.7ms | CPU: 15.4% | RAM: 15.4% | Temp: 55.4C
[21:19:59] Model: mobilenet | Latency: 4.4ms | CPU: 14.3% | RAM: 15.4% | Temp: 56.0C
[21:19:59] Model: mobilenet | Latency: 4.6ms | CPU: 11.5% | RAM: 15.4% | Temp: 55.4C
[21:20:00] Model: mobilenet | Latency: 3.9ms | CPU: 8.3% | RAM: 15.4% | Temp: 54.3C
[21:20:00] Model: mobilenet | Latency: 4.3ms | CPU: 17.2% | RAM: 15.4% | Temp: 55.4C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 8.0% | RAM: 15.4% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 5.1ms | CPU: 19.2% | RAM: 15.4% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 18.5% | RAM: 15.3% | Temp: 56.5C
[21:20:00] Model: mobilenet | Latency: 5.0ms | CPU: 8.0% | RAM: 15.3% | Temp: 54.9C
[21:20:00] Model: mobilenet | Latency: 4.6ms | CPU: 8.3% | RAM: 15.3% | Temp: 55.4C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 14.8% | RAM: 15.3% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 8.0% | RAM: 15.3% | Temp: 54.9C
[21:20:00] Model: mobilenet | Latency: 6.6ms | CPU: 14.3% | RAM: 15.3% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 12.5% | RAM: 15.3% | Temp: 54.9C
[21:20:00] Model: mobilenet | Latency: 4.5ms | CPU: 14.8% | RAM: 15.3% | Temp: 54.9C
[21:20:00] Model: mobilenet | Latency: 5.9ms | CPU: 11.5% | RAM: 15.3% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 6.2ms | CPU: 4.2% | RAM: 15.3% | Temp: 56.0C
[21:20:00] Model: mobilenet | Latency: 5.7ms | CPU: 8.7% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 6.0ms | CPU: 11.1% | RAM: 15.3% | Temp: 56.0C
[21:20:01] Model: mobilenet | Latency: 6.1ms | CPU: 15.4% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 6.2ms | CPU: 12.0% | RAM: 15.3% | Temp: 56.0C
[21:20:01] Model: mobilenet | Latency: 7.6ms | CPU: 12.0% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 7.0ms | CPU: 16.7% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 6.8ms | CPU: 11.5% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 7.6ms | CPU: 14.8% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 7.3ms | CPU: 22.2% | RAM: 15.3% | Temp: 56.5C
[21:20:01] Model: mobilenet | Latency: 6.3ms | CPU: 23.5% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 4.8ms | CPU: 14.3% | RAM: 15.3% | Temp: 56.5C
[21:20:01] Model: mobilenet | Latency: 4.9ms | CPU: 23.1% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 4.3ms | CPU: 25.0% | RAM: 15.3% | Temp: 56.0C
[21:20:01] Model: mobilenet | Latency: 4.3ms | CPU: 16.7% | RAM: 15.3% | Temp: 56.5C
[21:20:01] Model: mobilenet | Latency: 5.0ms | CPU: 26.7% | RAM: 15.3% | Temp: 55.4C
[21:20:01] Model: mobilenet | Latency: 5.7ms | CPU: 9.1% | RAM: 15.3% | Temp: 55.4C
[21:20:01] Model: mobilenet | Latency: 5.5ms | CPU: 30.8% | RAM: 15.3% | Temp: 56.0C
[21:20:01] Model: mobilenet | Latency: 6.6ms | CPU: 21.4% | RAM: 15.3% | Temp: 55.4C
[21:20:01] Model: mobilenet | Latency: 4.9ms | CPU: 25.0% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 5.8ms | CPU: 20.0% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 5.6ms | CPU: 18.2% | RAM: 15.3% | Temp: 56.5C
[21:20:01] Model: mobilenet | Latency: 10.3ms | CPU: 38.5% | RAM: 15.3% | Temp: 54.9C
[21:20:01] Model: mobilenet | Latency: 5.5ms | CPU: 16.7% | RAM: 15.3% | Temp: 56.0C
[21:20:01] Model: mobilenet | Latency: 5.4ms | CPU: 10.0% | RAM: 15.3% | Temp: 54.9C
[21:20:02] Model: mobilenet | Latency: 5.4ms | CPU: 18.2% | RAM: 15.3% | Temp: 56.0C
[21:20:02] Model: mobilenet | Latency: 5.1ms | CPU: 15.4% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 5.1ms | CPU: 8.3% | RAM: 15.3% | Temp: 54.9C
[21:20:02] Model: mobilenet | Latency: 4.1ms | CPU: 9.1% | RAM: 15.3% | Temp: 56.0C
[21:20:02] Model: mobilenet | Latency: 4.4ms | CPU: 25.0% | RAM: 15.3% | Temp: 56.0C
[21:20:02] Model: mobilenet | Latency: 4.3ms | CPU: 21.4% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 4.2ms | CPU: 23.1% | RAM: 15.3% | Temp: 54.9C
[21:20:02] Model: mobilenet | Latency: 4.3ms | CPU: 25.0% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 4.1ms | CPU: 20.0% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 4.8ms | CPU: 13.3% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 5.1ms | CPU: 10.0% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 4.1ms | CPU: 8.3% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 4.5ms | CPU: 23.1% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 4.1ms | CPU: 15.4% | RAM: 15.3% | Temp: 57.1C
[21:20:02] Model: mobilenet | Latency: 4.0ms | CPU: 10.0% | RAM: 15.3% | Temp: 57.1C
[21:20:02] Model: mobilenet | Latency: 6.2ms | CPU: 28.6% | RAM: 15.3% | Temp: 56.0C
[21:20:02] Model: mobilenet | Latency: 4.1ms | CPU: 23.1% | RAM: 15.3% | Temp: 54.9C
[21:20:02] Model: mobilenet | Latency: 4.2ms | CPU: 16.7% | RAM: 15.3% | Temp: 57.1C
[21:20:02] Model: mobilenet | Latency: 4.4ms | CPU: 26.7% | RAM: 15.3% | Temp: 57.1C
[21:20:02] Model: mobilenet | Latency: 4.5ms | CPU: 23.1% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 4.5ms | CPU: 16.7% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 5.3ms | CPU: 25.0% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 4.4ms | CPU: 20.0% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 5.0ms | CPU: 7.7% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 5.6ms | CPU: 23.1% | RAM: 15.3% | Temp: 56.5C
[21:20:02] Model: mobilenet | Latency: 6.4ms | CPU: 9.1% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 4.5ms | CPU: 21.4% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 5.6ms | CPU: 23.1% | RAM: 15.3% | Temp: 55.4C
[21:20:02] Model: mobilenet | Latency: 4.7ms | CPU: 18.2% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.5ms | CPU: 15.4% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 4.4ms | CPU: 16.7% | RAM: 15.3% | Temp: 57.1C
[21:20:03] Model: mobilenet | Latency: 4.9ms | CPU: 26.7% | RAM: 15.3% | Temp: 54.9C
[21:20:03] Model: mobilenet | Latency: 4.6ms | CPU: 18.2% | RAM: 15.3% | Temp: 57.1C
[21:20:03] Model: mobilenet | Latency: 4.4ms | CPU: 9.1% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 6.9ms | CPU: 14.3% | RAM: 15.3% | Temp: 56.5C
[21:20:03] Model: mobilenet | Latency: 4.9ms | CPU: 25.0% | RAM: 15.3% | Temp: 57.1C
[21:20:03] Model: mobilenet | Latency: 4.4ms | CPU: 8.3% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 5.0ms | CPU: 29.4% | RAM: 15.3% | Temp: 56.0C
[21:20:03] Model: mobilenet | Latency: 4.4ms | CPU: 18.7% | RAM: 15.3% | Temp: 56.5C
